sentence	language
anwa i yernan wayeḍ deg wannar?	kab
anta tarbaɛt i irebḥen taqbuct-nni?	kab
anwa i iḥemmlen ddabex n uḍaṛ?	kab
anwa ur nḥemmel ara ddabex n uḍaṛ?	kab
anita i yebɣan ad tezweǧ zik?	kab
anita i yesɛan aselkim afessas?	kab
anita i izewǧen deg-kent?	kab
yuzzel wawal yerna d tikerkas	kab
leɛmeṛ yenna-d tidet seg wasmi d-ilul	kab
iḥemmel ad isuden afus-ines	kab
ddu kan yid-sen ahat ssnen	kab
terwi tebberwi, ur teɛqil Faḍma argaz-is	kab
tenhewwal taddart seg yiḍelli	kab
ahya-k-id a bu uqeṛṛuy	kab
tecbeḥ mliḥ yelli-s n Waɛli	kab
yeddem ayen yezmer, yeǧǧa ayen i d-yeggran	kab
yessegra s wayen yelhan	kab
Bɣiɣ ad awen-d-fkeɣ yiwen n usteqsi	kab
Azul fell-awen akken ma tellam	kab
Acuɣer i ttarwent tlawin deg tesɛa n wagguren?	kab
Acuɣer i beṭṭunt lxalat aɣṛum s yixef n iḍudan-nsent?	kab
Acḥal n wagguren i tettɣama teqjunt i wakken ad tarew?	kab
Yiwwas deg ussan n tefsut, ɛeddaɣ rrif n taddart	kab
Tudrin meṛṛa i d-yezzin ṣubbent ad sensent times	kab
Anwa ur nesli ara s lexbeṛ n tlalit-ines?	kab
Tdeɛɛu i Rebbi ad tɛeddi ccedda mebla ma yeḍra-d uxeṣṣaṛ	kab
Tdeɛɛu i Rebbi ad tt-iserbeḥ deg Lbak	kab
Atan Samir yuɣal d amasiḥi	kab
Yeǧǧa tineslemt deg wasmi i yella d ameẓẓyan	kab
Yessukkes-as-d i nnbi si zik	kab
Yuɣal ur yettamen ara akk s wayen i d-qqaṛen lecyux n lǧameɛ	kab
Yeggul ma qqlen iḍaṛṛen-is ad zzin ar dinna	kab
Yettaru isefra i d-teqqaṛ yemma-s deg uxxam	kab
D idrimen kan i d ṣṣeḥ tura	kab
Argaz d win ixeddmen ɣef uxxam-is, mačči d win yettɛassa d acu i xeddmen wiyaḍ	kab
Mkul taqcict tesɛa tilelli ad tles ayen i tebɣa	kab
Tiqcicin sɛant azref ad ddunt akken i bɣant	kab
Taqcict tesɛa azref ad truḥ ar wanda i s-yehwa	kab
Myeḥmalen seg wasmi llan d imeẓẓyanen	kab
Myeḥmalen seg wasmi llan d imecṭaḥ	kab
Myeḥmalen seg wasmi llan d ibesṭaḥ	kab
Isexreb-as akk lecɣal-is seg mi d-iɛedda syenna	kab
D acu i kem-id-iwwin tafrjrit-a?	kab
Terra-yas awal s usetḥi	kab
Akken kan ara s-theḍreḍ ad iqqel wudem-is d azeggaɣ	kab
Tettsetḥi ula d tili-s	kab
Isexdem gma-s, ma d netta iṛuḥ ad iḥewwes	kab
Yeǧǧa gma-s ixeddem, ma d netta iṛuḥ ad iwali tamdakelt-is	kab
Yeǧǧa gma-s ixeddem, ma d netta iṛuḥ ad d-yeqḍu ayen ara ččen	kab
S ttawil kan a mmi-s n tmurt!	kab
Tanemmirt-ik ay amdakel	kab
Aɛebbuḍ yeṛwan ur yettnadi ara ɣef win yelluẓen	kab
Ula d ṛṛbiɛ deg tebḥirt qṛib ad ifakk	kab
D acu ara yexdem umeɣbun-a meskin?	kab
Leqbayel asmi bɣan ad ččen aɣerda, nnan-as d “ačuṛbiɛ”	kab
Llan Leqbayel i yebɣan ad neffeɣ d tamurt iman-nneɣ	kab
Nessaram ad tseggem tmurt-nneɣ s tmussni d tussna	kab
Yella ttawil i win yebɣan ad icemmeṛ iɣallen-is	kab
Yedduri ddaw n tzemmurt simmal ad tɛeddi lehwa	kab
Yedduri ddaw n tzemmurt simmal ad iɛeddi ugeffur	kab
Yedduri ddaw n tzemmurt i wakken ur t-isṛuɣay ara yiṭij	kab
Xuṣṣen kan iḍebbalen, sinna ad nekker ar ccḍeḥ	kab
Ur tessefṛaḥ ara tegnawt n wass-a	kab
Iɛǧeb-asen lḥal i warrac, atnan gguman akk ad fakken taḍsa	kab
Mi ara iheddeṛ sellen-as-d seg At Weɣlis	kab
Mi ara iheddeṛ ittaweḍ ṣṣut-is ar Ukfadu	kab
Ad teẓreḍ amek i cebḥent tudrin n Ukfadu ad twehmeḍ	kab
Akken i neɣṛa nekk yid-s deg yiwen n uɣerbaz	kab
Nettemyager abrid seg waggur	kab
Nettemlil-d deg ufrag ufella n taddart	kab
Bɣan ad rren tamurt am Iran	kab
Aql-aɣ deg tmurt n Leqbayel, mačči deg Qandahaṛ	kab
Ansa i d-nulfan akka akkit iqenduṛen-a?	kab
Berka-k asusef ar lqaɛa!	kab
Ur iḥemmel ara ad isew ayefki tameddit	kab
Iḥemmel lqahwa taberkant, wama ayefki ikreh-it	kab
Yettagem-d tamussni ar yemɣaṛen-nni n zik	kab
Yettɣama kana r imeqqṛanen, wellah arma tenniḍ-as ɛecrin n ssna i yesɛa	kab
Yettmagar-d aṭas n wuguren deg ubrid-is	kab
Iwala belli ur iɛedda ara ṛṛay-is, dɣa yerra-tt i leɛyaḍ	kab
Yiwen ur iqqaṛ ayen i yettaru	kab
Tegguma akk ad teḥbes asčewčew ɣef uqeṛṛuy-nneɣ	kab
Ur t-id-yuli ara wawal	kab
Isusem kan meskin	kab
Yettmuqqul kan, ur isɛi ara d acu ara d-yini	kab
Tettzuxxu s wayen ur nelli ara d ayla-s	kab
Ala lxir i m-ttmenniɣ	kab
Ur yi-tebɣi ara ayen yelhan	kab
Bezzaf ččuṛen yemdanen d cceṛ	kab
Ffɣen ad leqmen tizemrin	kab
Yesseḥzan lexbeṛ-nni	kab
Bdan yemdanen keččmen wa deffir wa	kab
Nwan-as akk d netta i d-yewwḍen ar uxxam	kab
Tɛedda-d ɣef ttnac n yiḍ	kab
Yuɣ-d takeṛṛust tajdidt.	kab
Ad ṛuḥen ar lebḥer ssmana i d-iteddun	kab
Ass wis tlata n tlalit-ines, yebda yesrugmut	kab
Aqjun yeshewhiw	kab
Izem iẓeddem ɣef teɣzalin isehlen	kab
Si zik-is nettat tettṛebbi imcac	kab
Tekreh ad twali aqjun	kab
Iḥemmel ad iṭṭef iwtal deg ifassen-is	kab
Taddart-nni meṛṛa ṛuḥen ar wexxam n tmeɣṛa	kab
Yezweǧ mmi-s n Ɛli Uqasi	kab
Yebɣa ad yaɣ yelli-s n xali-s meɛna gguman ad as-tt-fken	kab
ulac amkan anda ur tt-iwwi ara	kab
ɛeddan ɣef tmura meṛṛa ur d-ufan ara am netta	kab
yettnadi win ara s-d-ifken afus	kab
anwa ara iɛawnen wayeḍ?	kab
fren-tt anda ur tt-ittaf yiwen	kab
fren-tt meɛna tettban-d d akessar	kab
yeqqen lexyuḍ n sebbaḍ-is	kab
yuɣ-d tisebbaḍin d tizgzawin	kab
iḥemmel ad iles iceṭṭiḍen iberkanen	kab
yessen ad isɣeṛ axaṭer iḥemmel axeddim-is	kab
iḥemmel mliḥ arrac i yesɣaṛay	kab
ur ixeddem ara maḥyaf gar-asen	kab
yenna-yas: "tabunwit", win yenna-yas-d : "awal-a mačči d taqbaylit".	kab
Bɣan ad lḥun tikli n tsekkurt, nutni ur ssinen ara ɛad tin n tyaziḍt	kab
tikli n tyaziḍt teɛṛeq-as, tetteɛṛaḍ tin n tsekkurt	kab
Ttḥadar iman-ik!	kab
Anda i tenwa nettṛaju-tt?	kab
Anda i s-yenna ad kem-id-afeɣ?	kab
Ansa i tɛedda tecict-nni tabesṭuḥt?	kab
Iččuṛ uqeṛṛuy-is d iɣeblan	kab
Yettḥuccu armi d-yejreḥ ifassen-is	kab
Tejreḥ tasa-s s wayen i s-texdem	kab
ṛuḥ-as kan s ttawil alamma ifukk	kab
anwa akka i ak-d-yennan belli iɛedda-d sy-a	kab
anwa i d abrid ay uḥric?	kab
D acu i d-yennulfan d ajdid?	kab
Yeɣṛa aṭas n tektabin ɣef tseddast	kab
Yeqqaṛ tiktabin n tsertit	kab
Uɣeɣ-d yiwen n userwal d aberkan, rniɣ-d atriku azegzaw	kab
Yuɣ-as-d tajeǧǧigt i temdakelt-is	kab
Yuɣ-as-d tarzeft i yemma-s	kab
Yuɣ-as-d taqemjett i baba-s	kab
Wessiɛ wul-is meskin	kab
Yennum deg uxeddim n yiḍ	kab
Yettnadi anda ara yerwel ur yufi ara	kab
Yebɣa ad iṛuḥ anda ur yettwali ula d yiwen	kab
Imceḥ taqessult-is armi tfukk	kab
Iḥettet akk ayen i d-yeggran	kab
Sazedgen akk iberdan n taddart-nsen	kab
Mkul ass nettat tessefqaɛ-iyi s lehḍuṛ-is	kab
Tettxemmim kan ɣef yiman-is	kab
Ur tessin ara akk ad txemmem ɣef wiyaḍ	kab
Ilaq ad tḥemmleḍ ayen i txeddmeḍ	kab
Win ixeddmen s wul-is yettaweḍ ayen i yettmenni	kab
Win yessaramen ixeddem, ma d win ur nesɛi ara asirem ur ixeddem ara	kab
Win yeṭṭfen deg usirem-is, ḥaca awwaḍ ara yaweḍ ɣuṛ-s	kab
Ma tewwiḍ-d taɣawsa gar wallen-ik, azzel arma teṭṭfeḍ-tt-id!	kab
Iqsed ad yaweḍ lebɣi-s ama ass-a ama azekka	kab
Iguma ad iḥbes asbeɛbeɛ yizimer-nni	kab
Idegdeg deg uḍaṛ	kab
Mkul mi ara d-iɛeddi ɣef uzniq-nneɣ yesčenčin nnaqus-is	kab
Am nnaqus yeṭṭenṭunen neɣ am ṭṭbel yeddendunen	kab
Am win ikkaten ṭṭbel i uɛeẓẓug	kab
Am win iceṭṭḥen i uderɣal	kab
Iḥemmel anadi ussnan	kab
Yesɣaṛay arrac n uɣerbaz amezwaru	kab
Ilha uḥewwes di temdint n Bgayet	kab
Imezdaɣ n Weqqas ttheyyin yiwen n tmeɣṛa telha mliḥ	kab
Imezdaɣ n Ukfadu nnumen asemmiḍ	kab
Imezdaɣ n sseḥra nnumen azɣal	kab
Yeswa snat n litrat n waman	kab
Tisit n waman telha i tezmert	kab
Ur izmir ara ad ixdem aṭas n wussan	kab
Ixeddem tlata n wussam di ssmana	kab
Ixeddem tmanya n sswayeɛ deg wass	kab
Yebɣa ad iṛuḥ ar Fransa ad iɛic dinna	kab
Teɛǧeb-as temɛict di tlemmast n Bgayet	kab
Ur yessin ula d yiwet n taddart deg Tizi-Wezzu	kab
Yebɣa ad d-izzi akk i temdinin n Fransa	kab
Iṭṭef-iten ccambiḍ gezzmen tizmerin deg udrar	kab
Adrar n Ukfadu yeččur d tizantin	kab
Idurar n At Weɣlis sɛan aṭas n ukerruc	kab
Wissen ma yella ad d-yas ass-a ɛli neɣ xaṭi?	kab
Wellah ma ẓṛiɣ ma yella ad d-iṛuḥ neɣ xaṭi	kab
Ur fhimeɣ ara akk amek i yettxemmim wemdan-nni	kab
Ur ḥṣiɣ ara ad ixdem ayen i s-nniɣ	kab
Cukkeɣ tegla s wayen i d-yeǧǧa gma-s	kab
Ur ffudeɣ ara akken i lluẓeɣ	kab
Yettlaẓ mi ara d-yeɣli yiḍ	kab
Aqjun-nneɣ d aferḍas am widak-nni n ssyada	kab
Iṣubb ar ssuq ad d-yaɣ tayuga n yezgaren	kab
D azɣal ɣef madden meṛṛa mačči kan fell-aneɣ	kab
Tilawin n At ɛebbas qefzent deg tceɣlatin	kab
Mi ara tleḥḥu, ur tettmil ara zelmeḍ-yeffus	kab
ɣad bbubent arraw-nsent, ur d-ttcetkayent ɣef leɛtab	kab
bɣan qqazen iberdan i wakken ad sɛeddin aman	kab
wwin-d aṭas n tmacicin s ara ɣzen abrid	kab
wwin timacinin akken ad ssun i webrid-nni	kab
d ageffur n tegrest i d-ixedmen akk iremjen-nni deg ubrid	kab
di tmura irebḥen ur tettṛuḥu ara akk trisiti	kab
anda ur isgunfa ara wergaz-a?	kab
acuɣeṛ ur tettnadiḍ ara ansa i ak-d-tekka tyita?	kab
Ini-yi-d mi ara tekkreḍ i wakken ad ṭṭfeɣ amkan-nni!	kab
Sawel-iyi-d azekka ɣef ttnac	kab
Ad nemsawal azekka neɣ seld azekka ɣef setta n tmeddit	kab
Zik nettemyehḍaṛ, ma d tura walu	kab
Tfukk tallit-nni n cceṛ, tura imdanen lhan kan d yiman-nsen	kab
Nwiɣ yettxemmim am yergazen, ziɣen yeččuṛ wul-is d cceṛ	kab
Izmer ad k-iḥsed ula deg iẓẓan	kab
Tenwiḍ ad fehmen yemdanen-a naɣ?	kab
Tenwiḍ akka i ttxemmimen akk madden neɣ?	kab
Seg asmi d-necfa nettat tella da	kab
Seg asmi d-necfa imɣaṛen-nneɣ ttɣaman deg ufrag n taddart	kab
Tibḥirt tuḥwaǧ win ara tt-ineqcen i wakken ad d-tefk lɣella	kab
Tazemmurt yettwaneqcen tettaǧǧa-d aṭas n uzemmur	kab
Yelha ma txedmeḍ-as zzit uzemmur	kab
Yeqqaṛ deg Terga Uzemmur	kab
Yeɣṛa tasenselkimt armi yeɛwej, taggara yebɣa ad ixdem ayen-nniḍen	kab
Yeɣṛa-d di tesdawit n Bgayet, meɛna ixeddem di tesdawit n Tizi-Wezzu	kab
Ddu d uḍar-ik a mmi-s n tmurt !	kab
Win iḥemmlen isekla, issen amek ara ten-yefres	kab
Igran weṛṛaɣit, ihi d lawan n uḥuccu	kab
Imenna-d ad yečč asunedwič	kab
Yesfaqed ma mazal llan deg umkan-nni neɣ ṛuḥen	kab
Kra n tedyanin n zik	kab
Mi ara d-megren, ttaǧǧan amur n uẓawali	kab
Ass n lexmis taṣebḥit	kab
Ass n ssebt tameddit	kab
Ass n lḥedd ɣef ttnac n uzal	kab
Rzan ar tferkiwin-nsen ad ten-neqcen	kab
Ad d-kksen tibexsisin akked tṛemmanin	kab
Ad d-kksen irden akked temẓin	kab
Bdu-d seg iri arma d wayeḍ ahat ad d-ibin kra	kab
Ula d iɣersiwen ttmeslayen way-gar-asen	kab
Izux ɣef madden s wayen ur nelli d ayla-s	kab
Ulac win ara yezwin azemmur alamma serḥen yemɣaṛen n taddart	kab
Ulac win yellan deg ubrid ɣef ttnac n uzal	kab
Sarameɣ kan ad yi-d-qeblen asuter-inu	kab
Ifqeɛ fell-as aṭas i mi mačči d netta i s-yennan	kab
Ur ibɣi ara ad as-ceyyɛen yiwen-nniḍen ara s-iɛawden i ccɣel-nni	kab
Ur iban ara akk ma d netta neɣ d nettat i yettwaqeblen	kab
Yal tikkelt ara sɛelmeɣ yiwen ur ttawḍeɣ ara ayen i bɣiɣ	kab
Uɣalen xeddmeɣ lecɣal-iw mebla ma yeɛlem yiwen	kab
Qqimeɣ kan gar-asen ttmuqquleɣ s wallen-iw	kab
Nettat tetteffer akk ticeɣlatin-is, d nkenti kan i d nniyat nḥekku-yas kullec	kab
Nessaram ad nernu tutlayt taqbaylit ar Google	kab
Gguleɣ ma teqqel akk ad tsel s wayen i xeddmeɣ neɣ anda i rriɣ	kab
Win yettgalan s waṭas yeskidib	kab
Nekk uɣaleɣ ur ttamneɣ ara akk widak i yettẓalan axaṭer d at sin wudmawen	kab
Ur yi-ttlummu ara ma yella ur d-usiɣ ara axaṭer ttwaṭṭfeɣ s waṭas n lecɣal	kab
Yeqqim rrif n wassif ikkat tibyirin ɣef yiman-is	kab
Tebɣa ad yi-tt-teḥcu akken ttmuqquleɣ s wallen-iw	kab
Tebɣa ad yi-tenheṛ am izimer, ad xedmeɣ ayen i yi-d-teqqaṛ	kab
Ut ttaɣeɣ awal i yiwen, xeddmeɣ kan ayen i yi-d-yenna uqeṛṛuy-iw	kab
Ur ttakkeɣ ara tameẓẓuɣt i yemdanen am winna, axaṭer si zik netta yettɛassa kan imdanen	kab
Aṭas-aya seg mi i m-d-nniɣ ur s-qqaṛ walu, meɛna kemmi tḥemmleɣ ad tt-tesɛelmeḍ	kab
Txeddem kullec s tuffra i wakken yiwen ur s-isexṛab lecɣal-is	kab
Asmi ara taf ayen i tuḥwaǧ, imir-nni ad ken-tettu meṛṛa	kab
Ur d-tettmektay ul d yiwen mi ara taweḍ ar wayen tebɣa	kab
ḥrec ihi, tettḥadareḍ iman-ik ɣef izerman-a meṛṛa	kab
yuɣ-d taɣaṭ d uzimer i wakken ad idhu deg teksawt	kab
yettṛebbi itbiren akked tmiṛeqwamin	kab
yeẓẓa tikalitusin i wakken ur ittsax ara yiger-ines	kab
igzem taslent-nni i yeẓẓa baba-s deg tmazirt ufella	kab
izwi-d meṛṛa tizemrin-nni, tura ilaq ad nɛeddi ar ulqaḍ	kab
meyyez mliḥ mliḥ uqbel ad tekkreḍ ar ugennez	kab
ibbuḥra-d lḥal tameddit-a	kab
Wissen anda i lemden warrac-nneɣ tagnizit?	kab
Wissen acuɣeṛ akka i tsetḥa s teqbaylit-is?	kab
Wissen d acu i ilaqen ad t-nawi yid-nneɣ mi ara neffeɣ ar uḥewwes?	kab
Nezmer ad nissin aṭas n tɣawsiwin ma yella nebɣa	kab
Win yebɣan kra, yekkat i wakken ad t-yaweḍ	kab
Iḥemmel ad yurar s tgiṭart-is deg iḍ.	kab
Aṭas n tutlayin i ineggren, aṭas-nniḍen i d-ilulen	kab
Tamaziɣt d tawacult n tutlayin, mačči d yiwet n tutlayt	kab
Taqbayit d tutlayt mačči d tantala akken i nenwa zik	kab
Ad d-yeffeɣ wungal-is deg ussan i d-iteddun	kab
Yettaru tiktabin meɛna ur tent-id-isuffuɣ ara	kab
Yečča aṭas meɛna mazal ur yeṛwi ara	kab
Yewweḍ ar wayen i yebɣa meɛna mazal ibɣa ad yuɣal muɛaɛ akter n wannect-a	kab
Seg mi d-yekker netta d učči meɛna mazal ur yeččuṛ ara uɛebbuḍ-is	kab
Adrim i s-d-ikeččmen ibennu yes axxam anda ara yezdeɣ	kab
Bɣan akk yilemẓiyen ad zewǧen meɛna ur sɛin ara ixammen	kab
Fkan-tt tezwzǧ ar Lɛerc n At Menṣuṛ	kab
Deg wayen i yeḥma lḥal, alɣem izmer ad d-ifunzer dinna deg Sedduq	kab
Deg wayen i semmeḍ lḥal, axenziz-ik ad ibedd dinna deg Ukfadu	kab
Tettwaxneq akk temdint-nni, ur tt-id-ikeččem ara akk ubeḥri	kab
Anwa argaz i yeffɣen mi d-yekcem Maziɣ ar tzeqqa-nni?	kab
Anta tamɣaṛt i yeẓṛan belli ilha zzit uzemmur i udeddic	kab
Anwa aqcic ur nezṛi ara belli tutlayt taqbaylit tekcem deg tussna	kab
Nebɣa ad nesɣeṛ tussna s teqbaylit	kab
Amennuɣ s tsertit yeččur d ikeddiben, nekni nebɣa tidett	kab
Ma yella ur d-terri ara tteṛ ur teggan ara	kab
Ur tt-tetteqqed ara arma terra-d tteṛ	kab
D acu i d winna i d-tceyyɣeḍ akken?	kab
Acuɣeṛ i d-tceyyɛeḍ winna?	kab
Ad ak-d-rreɣ s wawal asmi ara yi-d-terreḍ uqble kečči s wawal	kab
Mazal ɛad ur bdint ara tmeɣṛiwin n unebdu	kab
Ur-ɛad bdint tmeɣṛiwin n unebdu	kab
Nettṛaju melmi ara yezweǧ gma-s n Takfarinas ad necḍeḥ	kab
Sbeṛ kan a tamɣaṛt, ur ittɛeṭṭil ara ad d-yelḥeq	kab
Awi-d afus ad am-d-qqneɣ kra n lḥenni	kab
Ur cfiɣ ara akk belli xedmeɣ annect-a	kab
Mi ara yeskeṛ ur iɛellem ara akk d acu i ixeddem	kab
Ttagaden widak yeɣṛan, axaṭer ẓṛan widak ad sen-fiqen belli sbeṛwiḍen kan	kab
ḥemmleɣ ad sleɣ i yefrax sčewčiwen ɣef tzemrin	kab
yufa lɛecc n tsekkurt yeččuṛ d timellalin	kab
ccah axaṭer d kečč i d-yezwaren ar wannect-a	kab
ma yella ur tqudreḍ ara iman-ik, ulac win ara k-iqadṛen	kab
Tesɛa lxana ɣef udem-is tettbin-d ar libɛid akya.	kab
Tenhewwel taddart am urgaz am tmeṭṭut	kab
ffɣen akk yergazen ad berzen igran-nsen uqbel ad d-yaweḍ unebdu	kab
ffɣen akk ar ubraz neɣ mulac ad tsenger kullec tmes n unebdu	kab
ur ɛlimeɣ ara ma yella d tteṛ i bɣiɣ ad d-rreɣ neɣ d acu-t.	kab
Zṛiɣ kan belli yečča-d ul-iw yerna mliḥ akya	kab
Ini-d tura kečči iwacu i txedmeḍ annect-nni, umbaɛed ad ak-d-rreɣ nekki	kab
Wali kemmi tura d acu i txedmeḍ, sienna ad nẓeṛ d acu i texdem nettat	kab
Yiwen ur ittmuqqul ar leɛyub-is netta, ttmuqulen akk ar wiyaḍ	kab
Alɣem yettwali kan taɛrurt-nni n gma-s, ur iwala ara akk tinn-is	kab
ɛni tufiḍ-d anda i terra?	kab
Wissen anda i t-sersen ubesṭuḥ-nni daɣen	kab
Yesɛa agelzim akked tqabcat caḍen-as	kab
Teddez kullec s umehraz	kab
Ur tettḥibbi ara ad tsexdem tamacint, txeddem s ifassen-is	kab
Isuffeɣ-d adlis n tfizikt s teqbaylit	kab
Drus n tektabin i d-yeffɣen s teqbaylit, nessaram ad ilint aṭas n wannect-a	kab
Nessaram ad d-lalen daɣen widak ara iḍefṛen abrid-is	kab
Nekk heddṛeɣ ar wudem, ur ttezziɣ ara i wawal	kab
Teččuṛeḍ d ameɛɛen, wellah ar tɛeddaḍ deg temɣaṛt	kab
Nettat tesɛa 6 n iseggasen, meɛna imeslayen-is am widak-nni n temɣaṛin	kab
Ldi adli-is ar isebter wis xemsa utlatin	kab
Ad d-qqlen meṛṛa ass n laṛebɛa ɣef tlata n tmeddit	kab
Ad necḍeḥ arma neɛya deg tmeɣṛa-ines	kab
Hḍeṛ akka i wi ur k-nessin ara, wama nekk ssneɣ-k!	kab
Seḍsen-iyi-d imeslayen-im, ḥaca asfuǧeɣ i tesfuǧuɣeḍ	kab
Ad ɛeddiɣ ad gneɣ, iseɛya-yi uxeddim ass-a	kab
Tteqmacent wallen-iw iman-nsent, deg iḍelli ma gneɣ ula d ddqiqa	kab
Nwiɣ yessen ad iɛum, ziɣen walu akya	kab
taddart-nneɣ meẓẓiyet, meɛna meqqeṛ yisem-is	kab
Tḥemmel ad tles iserwula imeqqṛanen neɣ wid yeḥfan.	kab
Yeɣli-d ugeffur d iḥemmalen ussan iɛeddan.	kab
Yella win i yi-d-yeɣṛan?	kab
Yella win i s-yeɣṛan ar wexxam?	kab
Nebɣa win ara s-yawin tabratt-a ar ufus-is.	kab
Melmi i tuḥwaǧeḍ kra, sawel-d!	kab
Ad iliɣ azekka deg uxxam.	kab
Yella ixeddem ass s wass, tura yuɣal yal ass.	kab
Ad as-nsawel i Michel.	kab
sawleɣ-as deg tilifun, yettgami ad d-yerr s wawal.	kab
Ittfeṛṛiǧ Tom & Jerry.	kab
Wissen ansa i d-yekka daɣen umexluq-a?	kab
Tanemmirt i mi sen-tessawleḍ.	kab
Yif-it ma iṛuḥ ad iwali ṭṭbib.	kab
Ɣiwlet deg-s ay arraw!	kab
Nuḥwaǧ widak ara ittekkin, mačči widak ara d-ittfeṛṛiǧen.	kab
Awi-d widak i ixeddem, mačči widak i yellan d ifenyanen.	kab
Llan aṭas i yettṛajun deg beṛṛa.	kab
Aṭas n isenfaṛen i d-yeldin i tutlayt taqbaylit.	kab
Gguman akk medden ad beddlen tamuɣli fell-as.	kab
Iguma ad yečč seg iḍelli.	kab
Seg mi d-ikker netta d imeṭṭawen.	kab
Yezdeɣ deg yiwen n temdint tezga-d deg udrar.	kab
Ur semmḍet ara mliḥ taddart-nni.	kab
Yettwassen am deg tudrin ama deg temdinin.	kab
Ffɣen akk wat taddart i wakken ad nadin ɣef uqcic-nni ur d-nban ara.	kab
Ffɣen-d akk yimedaɣ n temdint i wakken ad zhun deg tmeɣṛa-nni.	kab
Faṛes meqqaṛ tagnitt, hḍeṛ-as ɣef temsalt n baba-k!	kab
Ffeɣ ar beṛṛa, teqqimeḍ kra dinna!	kab
Ddem meqqaṛ taktubt-ik ad teɣṛeḍ kra!	kab
Ɛeddi ad teččeḍ imi yeḥma wučči!	kab
Ǧǧiɣ Samir deg uxxam yettfeṛṛiǧ lfilm.	kab
Ad iṛuḥ azekka ar ssinima netta d temdakelt-is.	kab
Teffeɣ akked kra n warrac i wakken ad d-ɛawnen deg welqaḍ n uzemmur.	kab
Abrid ɣezzif, ilaq ad neɣṣeb kra deg tikli.	kab
Ilaq ad nɣiwel i wakken ad naweḍ zik.	kab
Ur cfiɣ ara mliḥ fell-as.	kab
Ur cfiɣ ara mliḥ ɣef teqcict-nni.	kab
Ur ẓṛiɣ ara d wanwa i yedda.	kab
Ttmeslayen akk medden ɣef tsertit ɣas akken ur ssinen ara.	kab
Tasertit d axxam n tkerkas, ala ayla-s i s-izemren.	kab
Bɣan akk medden ad inigen ar Fransa.	kab
Aṭas n inelmaden i iṛuḥen ar Fransa.	kab
Tebbɣa ad tɣeṛ ayen i tebɣa, mačči ayen i yebɣa baba-s.	kab
Iḥuss-as mliḥ i tyita-nni.	kab
Ǧǧiɣ-tt deg tkuzint teskayar učči.	kab
Yettnadi ar watmaten-is ma yella ad yaf.	kab
Win yettnadin yettaf, ma d win yegganen kra ur t-ittaf.	kab
Ccah deg-k i mi tettamneḍ tiqsiḍin-is.	kab
Ccah deg-m i mi tḥemmleḍ ad tt-tamneḍ.	kab
Beddel kra ixemmimen-ik!	kab
Anef-as ad iṛuḥ, ad ijeṛṛeb ddunit.	kab
Mačči d aɣerbaz ara s-islemden ddunit.	kab
Mačči d aɣerbaz ara sen-islemden ddunit.	kab
Ddut yid-i ad wen-d-sekneɣ amkan-is!	kab
Ddut-d yid-i ad wen-d-sekneɣ anda i yettɣama.	kab
Ddut-d yid-i ad nṛuḥ ad t-nɛawen.	kab
Yesɛa tira tecbeḥ mliḥ.	kab
Ur yessin ara ad yexdem, yessen kan ad iwet deg widak ixeddmen.	kab
Axxam yeččuṛ d iɛekzen, ulac wid ara inehṛen azgaren.	kab
Iqfez mliḥ deg urar.	kab
Yessen mliḥ ad yurar ddabex n uḍaṛ.	kab
Mi ara d-kecmen ar wannar, ttɛeggiḍen akk medden.	kab
Iḥɣa ad iḥbes akeyyef n ddexxam meɛna ur yezmire ara.	kab
Tikkelt-a yeqsed ad iḥbes tisit n ccṛab.	kab
Tesres afenǧal-nni ɣef ṭṭabla.	kab
Isres sin n ibuqalen ɣef ṭṭabla.	kab
Iḥemmel ad isker čekčuka d tmellalin.	kab
Nezmer akk ad naweḍ ar wayen nebɣa.	kab
Ilaq kan ad cemṛeɣ iɣallen-iw sya d asawen.	kab
Wejdeɣ i wakken ad snerniɣ asenfaṛ-nneɣ.	kab
Aql-i da a gma.	kab
Ɛeddi-d ticki ar wexxam!	kab
Dayen kullec yefra tura.	kab
Tuɣ-d ṭumaṭic akked ifelfel azeggaɣ.	kab
Tṛuḥ ad d-taɣ ayefki i warrac-nni ibesṭaḥ.	kab
Ad d-asen meṛṛa azekka.	kab
Ad d-asen ar wexxam-nneɣ azekka.	kab
Ad lseɣ ayen i bɣiɣ.	kab
Ad dduɣ akken i bɣiɣ deg ubrid.	kab
Yal yiwen ad d-yefk ayen i yezmer.	kab
Yal yiwen ad imudd ayen i yezmer.	kab
Yebɣa ad yaru adlis n tayri.	kab
Ibda yettaru adlis ara d-isuffeɣ qabel.	kab
Ččan ayaziḍ deg ubrid-nsen.	kab
Iḥemmel ad yečč deg beṛṛa.	kab
Wissen anda i yeǧǧa akka takeṛṛust-is?	kab
Waqila ibɣa ad d-yaɣ takeṛṛust atmaynutt.	kab
Yuɣ-d iḍelli yiwet n tkeṛṛust amack-itt.	kab
Iwet takeṛṛust-ines ar yiwet n tzemmurt.	kab
Wissen anwa i s-ixebcen takeṛṛust-is?	kab
Takeṛṛust i d-yuɣ d taberkant.	kab
Ur tettcab ara tgerfa.	kab
Ad mlilen azekka.	kab
Isɛa taɣennant weqcic-nni.	kab
Yettzuxxu ula ɣef watmaten-is.	kab
